"Datum";"kWh";"kW";"Status";
"23.03.2025 12:45";0,59;2,36;"VALID";
"23.03.2025 13:00";0,209;0,836;"VALID";
"23.03.2025 13:15";0,659;2,636;"VALID";
"23.03.2025 13:30";0,266;1,064;"VALID";
"23.03.2025 13:45";0,426;1,704;"VALID";
"23.03.2025 14:00";0,013;0,052;"VALID";
"23.03.2025 14:15";0;0;"VALID";
"23.03.2025 14:30";0,006;0,024;"VALID";
"23.03.2025 14:45";0,014;0,056;"VALID";
"23.03.2025 15:00";0,016;0,064;"VALID";
"23.03.2025 15:15";0,123;0,492;"VALID";
"23.03.2025 15:30";0,249;0,996;"VALID";
"23.03.2025 15:45";0;0;"VALID";
"23.03.2025 16:00";0;0;"VALID";
"23.03.2025 16:15";0;0;"VALID";
"23.03.2025 16:30";0;0;"VALID";
"23.03.2025 16:45";0;0;"VALID";
"23.03.2025 17:00";0;0;"VALID";
"23.03.2025 17:15";0;0;"VALID";
"23.03.2025 17:30";0;0;"VALID";
"23.03.2025 17:45";0;0;"VALID";
"23.03.2025 18:00";0;0;"VALID";
"23.03.2025 18:15";0;0;"VALID";
"23.03.2025 18:30";0;0;"VALID";
"23.03.2025 18:45";0;0;"VALID";
"23.03.2025 19:00";0;0;"VALID";
"23.03.2025 19:15";0;0;"VALID";
"23.03.2025 19:30";0;0;"VALID";
"23.03.2025 19:45";0;0;"VALID";
"23.03.2025 20:00";0;0;"VALID";
"23.03.2025 20:15";0;0;"VALID";
"23.03.2025 20:30";0;0;"VALID";
"23.03.2025 20:45";0;0;"VALID";
"23.03.2025 21:00";0;0;"VALID";
